code,name,brief,description
W0631,undefined-loop-variable,Using possibly undefined loop variable %r,Used when an loop variable (i.e. defined by a for loop or a list comprehension or a generator expression) is used outside the loop.
W0640,cell-var-from-loop,Cell variable %s defined in loop,A variable used in a closure is defined in a loop. This will result in all closures using the same value for the closed-over variable.
W0702,bare-except,No exception type(s) specified,Used when an except clause doesn't specify exceptions type to catch.
W0703,broad-except,Catching too general exception %s,"Used when an except catches a too general exception, possibly burying unrelated errors."
W0705,duplicate-except,Catching previously caught exception type %s,Used when an except catches a type that was already caught by a previous handler.
W0710,nonstandard-exception,"Exception doesn't inherit from standard ""Exception"" class","Used when a custom exception class is raised but doesn't inherit from the builtin ""Exception"" class. This message can't be emitted when using Python >= 3.0."
W0711,binary-op-exception,"Exception to catch is the result of a binary ""%s"" operation","Used when the exception to catch is of the form ""except A or B:"". If intending to catch multiple, rewrite as ""except (A, B):"""
W0715,raising-format-tuple,Exception arguments suggest string formatting might be intended,"Used when passing multiple arguments to an exception constructor, the first of them a string literal containing what appears to be placeholders intended for formatting"
W1001,property-on-old-class,"Use of ""property"" on an old style class","Used when Pylint detect the use of the builtin ""property"" on an old style class while this is relying on new style classes features. This message can't be emitted when using Python >= 3.0."
W1113,keyword-arg-before-vararg,Keyword argument before variable positional arguments list in the definition of %s function,"When defining a keyword argument before variable positional arguments, one can end up in having multiple values passed for the aforementioned parameter in case the method is called with keyword arguments."
W1201,logging-not-lazy,Specify string format arguments as logging function parameters,"Used when a logging statement has a call form of ""logging.<logging method>(format_string % (format_args...))"". Such calls should leave string interpolation to the logging method itself and be written ""logging.<logging method>(format_string, format_args...)"" so that the program may avoid incurring the cost of the interpolation in those cases in which no message will be logged. For more, see http://www.python.org/dev/peps/pep-0282/."
W1202,logging-format-interpolation,Use % formatting in logging functions and pass the % parameters as arguments,"Used when a logging statement has a call form of ""logging.<logging method>(format_string.format(format_args...))"". Such calls should use % formatting instead, but leave interpolation to the logging function by passing the parameters as arguments."
W1300,bad-format-string-key,"Format string dictionary key should be a string, not %s",Used when a format string that uses named conversion specifiers is used with a dictionary whose keys are not all strings.
W1301,unused-format-string-key,Unused key %r in format string dictionary,Used when a format string that uses named conversion specifiers is used with a dictionary that contains keys not required by the format string.
W1302,bad-format-string,Invalid format string,Used when a PEP 3101 format string is invalid. This message can't be emitted when using Python < 2.7.
W1303,missing-format-argument-key,Missing keyword argument %r for format string,Used when a PEP 3101 format string that uses named fields doesn't receive one or more required keywords. This message can't be emitted when using Python < 2.7.
W1304,unused-format-string-argument,Unused format argument %r,Used when a PEP 3101 format string that uses named fields is used with an argument that is not required by the format string. This message can't be emitted when using Python < 2.7.
W1305,format-combined-specification,Format string contains both automatic field numbering and manual field specification,Used when a PEP 3101 format string contains both automatic field numbering (e.g. '{}') and manual field specification (e.g. '{0}'). This message can't be emitted when using Python < 2.7.
